item_name,category,price,food_image
Chicken Biryani,Main Course,220,https://example.com/images/chicken_biryani.jpg
Veg Fried Rice,Main Course,150,https://example.com/images/veg_fried_rice.jpg
Paneer Butter Masala,Main Course,200,https://example.com/images/paneer_butter_masala.jpg
Chicken 65,Starter,180,https://example.com/images/chicken_65.jpg
Veg Manchurian,Starter,140,https://example.com/images/veg_manchurian.jpg
Masala Dosa,Breakfast,90,https://example.com/images/masala_dosa.jpg
Idli Sambar,Breakfast,70,https://example.com/images/idli_sambar.jpg
Butter Naan,Bread,40,https://example.com/images/butter_naan.jpg
Gulab Jamun,Dessert,60,https://example.com/images/gulab_jamun.jpg
Cold Coffee,Beverages,120,https://example.com/images/cold_coffee.jpg
